key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,pickup_hour,pickup_dow,is_weekend,price_per_km
2015-05-07 19:52:06.0000003,7.5,2015-05-07 19:52:06+00:00,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1.0,1.683322752402931,19,3,0,4.4554735503300265
2009-07-17 20:04:56.0000002,7.7,2009-07-17 20:04:56+00:00,-73.994355,40.728225,-73.99471,40.750325,1.0,2.4575898837790584,20,4,0,3.133150917825085
2009-08-24 21:45:00.00000061,12.9,2009-01-11 13:07:00+00:00,-74.005043,40.74077,-73.98017,40.772647,1.0,4.1174069339279935,13,6,1,3.1330398493533016
2009-06-26 08:22:21.0000001,5.3,2009-06-26 08:22:21+00:00,-73.976124,40.75250272070312,-73.965316,40.803349,3.0,5.726622110512637,8,4,0,0.9255019621899852
2014-08-28 17:47:00.000000188,16.0,2014-08-28 17:47:00+00:00,-73.98185729980467,40.744085,-73.97308199999999,40.75291,5.0,1.2285739329628786,17,3,0,13.02322926664556
2011-02-12 02:27:09.0000006,4.9,2011-02-12 02:27:09+00:00,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1.0,0.0,2,5,1,4.9
2014-10-12 07:04:00.0000002,24.5,2014-10-12 07:04:00+00:00,-73.98185729980467,40.693965000000006,-73.871195,40.774297,5.0,12.912359725496318,7,6,1,1.8974068660450276
2012-02-17 09:32:00.00000043,9.7,2012-02-17 09:32:00+00:00,-73.975187,40.745767,-74.00272,40.743537,1.0,2.332711009340077,9,4,0,4.1582519056846765
2012-03-29 19:06:00.000000273,12.5,2012-03-29 19:06:00+00:00,-74.001065,40.741787,-73.96304,40.75291,1.0,3.433739047083523,19,3,0,3.640346522726294
2015-05-22 17:32:27.0000004,6.5,2015-05-22 17:32:27+00:00,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1.0,2.2508576218600655,17,4,0,2.8877881643302366
2011-05-17 14:03:00.000000158,3.3,2011-05-17 14:03:00+00:00,-73.966378,40.80444,-73.96589,40.807133,5.0,0.30225169336801644,14,1,0,3.3
2011-06-25 11:19:00.000000102,10.9,2011-06-25 11:19:00+00:00,-73.953352,40.767382,-73.97251,40.796137,1.0,3.581250827378925,11,5,1,3.04362931428
2010-04-06 22:20:27.0000004,6.9,2010-04-06 22:20:27+00:00,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1.0,1.3099499000119,22,1,0,5.267377019485492
2012-02-21 09:33:00.00000028,9.7,2012-02-21 09:33:00+00:00,-73.990718,40.75192,-73.97305300000001,40.74423,2.0,1.7162774216529932,9,1,0,5.651766944913642
2011-09-01 09:21:40.0000002,4.9,2011-09-01 09:21:40+00:00,-73.988908,40.756982,-73.981246,40.76005,1.0,0.7299655487752681,9,3,0,4.9
2011-03-19 23:58:27.0000003,10.5,2011-03-19 23:58:27+00:00,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2.0,2.5159500721201353,23,5,1,4.173373755049075
2015-03-25 08:58:35.0000001,12.0,2015-03-25 08:58:35+00:00,-73.98185729980467,40.767189025878906,-73.97445678710938,40.75386047363281,1.0,1.6078022426409297,8,2,0,7.463604466858527
2009-08-08 00:20:00.000000183,4.9,2009-08-08 00:20:00+00:00,-73.992075,40.719633,-73.985323,40.727405,1.0,1.0347036107860215,0,5,1,4.735655649522353
2014-02-18 14:26:00.00000070,10.5,2014-02-18 14:26:00+00:00,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1.0,2.4902437611965915,14,1,0,4.216454695565476
2015-03-03 23:15:03.0000003,5.0,2015-03-03 23:15:03+00:00,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2.0,0.9594688591851598,23,1,0,5.0
2009-11-26 02:58:00.0000005,4.1,2009-11-26 02:58:00+00:00,-74.010798,40.726085,-74.00976700000001,40.737402,2.0,1.2613880250404355,2,3,0,3.2503876036626944
2009-01-18 01:03:55.0000002,7.7,2010-09-04 16:12:00+00:00,-73.9943,40.739512,-73.98807,40.724482,2.0,1.751762582083585,16,5,1,4.395572824053275
2010-05-12 22:32:00.000000200,12.9,2010-05-12 22:32:00+00:00,-73.972987,40.76404,-74.00782,40.714993,5.0,6.193235947014278,22,2,0,2.0829175749745192
